vin	V(be)	Ib(Q1)	Ic(Q1)	Ic(Q1)/Ib(Q1)
1.124999999999998e+000	7.120031e-001	1.877259e-003	2.179650e-004	1.161081e-001
1.129999999999998e+000	7.123339e-001	1.898482e-003	2.179645e-004	1.148099e-001
1.134999999999998e+000	7.126617e-001	1.919719e-003	2.179640e-004	1.135395e-001
1.139999999999998e+000	7.129866e-001	1.940970e-003	2.179634e-004	1.122961e-001
1.144999999999998e+000	7.133085e-001	1.962234e-003	2.179629e-004	1.110790e-001
1.149999999999998e+000	7.136275e-001	1.983511e-003	2.179624e-004	1.098871e-001
1.154999999999997e+000	7.139438e-001	2.004801e-003	2.179618e-004	1.087199e-001
1.159999999999997e+000	7.142573e-001	2.026103e-003	2.179613e-004	1.075766e-001
1.164999999999997e+000	7.145681e-001	2.047418e-003	2.179608e-004	1.064564e-001
1.169999999999997e+000	7.148762e-001	2.068744e-003	2.179602e-004	1.053587e-001
1.174999999999997e+000	7.151818e-001	2.090083e-003	2.179597e-004	1.042828e-001
1.179999999999997e+000	7.154848e-001	2.111433e-003	2.179591e-004	1.032281e-001
1.184999999999997e+000	7.157853e-001	2.132794e-003	2.179586e-004	1.021939e-001
1.189999999999997e+000	7.160833e-001	2.154167e-003	2.179580e-004	1.011797e-001
1.194999999999997e+000	7.163790e-001	2.175550e-003	2.179574e-004	1.001850e-001
1.199999999999996e+000	7.166722e-001	2.196944e-003	2.179569e-004	9.920910e-002
1.204999999999996e+000	7.169632e-001	2.218349e-003	2.179563e-004	9.825157e-002
1.209999999999996e+000	7.172518e-001	2.239765e-003	2.179557e-004	9.731189e-002
1.214999999999996e+000	7.175382e-001	2.261190e-003	2.179552e-004	9.638958e-002
1.219999999999996e+000	7.178224e-001	2.282626e-003	2.179546e-004	9.548416e-002
1.224999999999996e+000	7.181044e-001	2.304071e-003	2.179540e-004	9.459518e-002
1.229999999999996e+000	7.183842e-001	2.325526e-003	2.179534e-004	9.372221e-002
1.234999999999996e+000	7.186620e-001	2.346991e-003	2.179529e-004	9.286480e-002
1.239999999999996e+000	7.189377e-001	2.368465e-003	2.179523e-004	9.202259e-002
1.244999999999995e+000	7.192113e-001	2.389949e-003	2.179517e-004	9.119514e-002
1.249999999999995e+000	7.194830e-001	2.411441e-003	2.179511e-004	9.038211e-002
1.254999999999995e+000	7.197527e-001	2.432942e-003	2.179505e-004	8.958311e-002
1.259999999999995e+000	7.200205e-001	2.454452e-003	2.179499e-004	8.879779e-002
1.264999999999995e+000	7.202863e-001	2.475971e-003	2.179494e-004	8.802580e-002
1.269999999999995e+000	7.205503e-001	2.497499e-003	2.179488e-004	8.726683e-002
1.274999999999995e+000	7.208124e-001	2.519034e-003	2.179482e-004	8.652053e-002
1.279999999999995e+000	7.210728e-001	2.540578e-003	2.179476e-004	8.578661e-002
1.284999999999995e+000	7.213314e-001	2.562130e-003	2.179470e-004	8.506475e-002
1.289999999999995e+000	7.215881e-001	2.583690e-003	2.179464e-004	8.435468e-002
1.294999999999994e+000	7.218432e-001	2.605258e-003	2.179458e-004	8.365612e-002
1.299999999999994e+000	7.220965e-001	2.626834e-003	2.179452e-004	8.296878e-002
1.304999999999994e+000	7.223482e-001	2.648417e-003	2.179446e-004	8.229239e-002
1.309999999999994e+000	7.225982e-001	2.670008e-003	2.179440e-004	8.162672e-002
1.314999999999994e+000	7.228466e-001	2.691606e-003	2.179434e-004	8.097150e-002
1.319999999999994e+000	7.230934e-001	2.713212e-003	2.179428e-004	8.032649e-002
1.324999999999994e+000	7.233385e-001	2.734825e-003	2.179422e-004	7.969147e-002
1.329999999999994e+000	7.235822e-001	2.756445e-003	2.179416e-004	7.906620e-002
1.334999999999994e+000	7.238243e-001	2.778071e-003	2.179410e-004	7.845046e-002
1.339999999999993e+000	7.240649e-001	2.799705e-003	2.179404e-004	7.784405e-002
1.344999999999993e+000	7.243040e-001	2.821346e-003	2.179398e-004	7.724675e-002
1.349999999999993e+000	7.245416e-001	2.842993e-003	2.179392e-004	7.665836e-002
1.354999999999993e+000	7.247778e-001	2.864646e-003	2.179386e-004	7.607869e-002
1.359999999999993e+000	7.250125e-001	2.886307e-003	2.179380e-004	7.550755e-002
1.364999999999993e+000	7.252458e-001	2.907973e-003	2.179373e-004	7.494475e-002
1.369999999999993e+000	7.254778e-001	2.929647e-003	2.179367e-004	7.439011e-002
1.374999999999993e+000	7.257083e-001	2.951326e-003	2.179361e-004	7.384346e-002
1.379999999999993e+000	7.259375e-001	2.973011e-003	2.179355e-004	7.330463e-002
1.384999999999993e+000	7.261654e-001	2.994703e-003	2.179349e-004	7.277346e-002
1.389999999999992e+000	7.263920e-001	3.016400e-003	2.179343e-004	7.224979e-002
1.394999999999992e+000	7.266172e-001	3.038103e-003	2.179337e-004	7.173346e-002
