vin	V(be)	Ic(Q1)
1.309999999999994e+000	7.225982e-001	2.179440e-004
1.314999999999994e+000	7.228466e-001	2.179434e-004
1.319999999999994e+000	7.230934e-001	2.179428e-004
1.324999999999994e+000	7.233385e-001	2.179422e-004
1.329999999999994e+000	7.235822e-001	2.179416e-004
1.334999999999994e+000	7.238243e-001	2.179410e-004
1.339999999999993e+000	7.240649e-001	2.179404e-004
1.344999999999993e+000	7.243040e-001	2.179398e-004
1.349999999999993e+000	7.245416e-001	2.179392e-004
1.354999999999993e+000	7.247778e-001	2.179386e-004
1.359999999999993e+000	7.250125e-001	2.179380e-004
1.364999999999993e+000	7.252458e-001	2.179373e-004
1.369999999999993e+000	7.254778e-001	2.179367e-004
1.374999999999993e+000	7.257083e-001	2.179361e-004
1.379999999999993e+000	7.259375e-001	2.179355e-004
1.384999999999993e+000	7.261654e-001	2.179349e-004
1.389999999999992e+000	7.263920e-001	2.179343e-004
1.394999999999992e+000	7.266172e-001	2.179337e-004
1.399999999999992e+000	7.268412e-001	2.179330e-004
1.404999999999992e+000	7.270639e-001	2.179324e-004
1.409999999999992e+000	7.272854e-001	2.179318e-004
1.414999999999992e+000	7.275056e-001	2.179312e-004
1.419999999999992e+000	7.277246e-001	2.179306e-004
1.424999999999992e+000	7.279424e-001	2.179299e-004
1.429999999999992e+000	7.281590e-001	2.179293e-004
1.434999999999991e+000	7.283745e-001	2.179287e-004
1.439999999999991e+000	7.285888e-001	2.179281e-004
1.444999999999991e+000	7.288019e-001	2.179275e-004
1.449999999999991e+000	7.290139e-001	2.179268e-004
1.454999999999991e+000	7.292249e-001	2.179262e-004
1.459999999999991e+000	7.294347e-001	2.179256e-004
1.464999999999991e+000	7.296434e-001	2.179250e-004
1.469999999999991e+000	7.298510e-001	2.179244e-004
1.474999999999991e+000	7.300576e-001	2.179237e-004
1.479999999999990e+000	7.302632e-001	2.179231e-004
1.484999999999990e+000	7.304677e-001	2.179225e-004
1.489999999999990e+000	7.306712e-001	2.179219e-004
1.494999999999990e+000	7.308736e-001	2.179212e-004
1.499999999999990e+000	7.310751e-001	2.179206e-004
1.504999999999990e+000	7.312756e-001	2.179200e-004
1.509999999999990e+000	7.314751e-001	2.179194e-004
1.514999999999990e+000	7.316737e-001	2.179187e-004
1.519999999999990e+000	7.318712e-001	2.179181e-004
1.524999999999990e+000	7.320679e-001	2.179175e-004
1.529999999999989e+000	7.322636e-001	2.179169e-004
1.534999999999989e+000	7.324584e-001	2.179162e-004
1.539999999999989e+000	7.326523e-001	2.179156e-004
1.544999999999989e+000	7.328453e-001	2.179150e-004
1.549999999999989e+000	7.330374e-001	2.179143e-004
1.554999999999989e+000	7.332286e-001	2.179137e-004
1.559999999999989e+000	7.334190e-001	2.179131e-004
1.564999999999989e+000	7.336085e-001	2.179125e-004
1.569999999999989e+000	7.337971e-001	2.179118e-004
1.574999999999988e+000	7.339849e-001	2.179112e-004
1.579999999999988e+000	7.341719e-001	2.179106e-004
1.584999999999988e+000	7.343580e-001	2.179099e-004
1.589999999999988e+000	7.345433e-001	2.179093e-004
1.594999999999988e+000	7.347278e-001	2.179087e-004
