time	V(be)	V(ce)	Ib(Q1)	Ic(Q1)	Ie(Q1)
1.233107199265508e-003	6.181441e-001	4.460249e-001	1.621851e-006	4.553978e-004	-4.570197e-004
1.243107199265508e-003	6.182144e-001	4.346986e-001	1.621834e-006	4.565307e-004	-4.581525e-004
1.253107199265508e-003	6.182263e-001	4.327273e-001	1.618105e-006	4.567279e-004	-4.583460e-004
1.263107199265508e-003	6.181800e-001	4.401366e-001	1.610846e-006	4.559869e-004	-4.575978e-004
1.273107199265508e-003	6.180755e-001	4.568637e-001	1.600272e-006	4.543140e-004	-4.559143e-004
1.283107199265508e-003	6.179131e-001	4.827563e-001	1.586583e-006	4.517245e-004	-4.533111e-004
1.293107199265508e-003	6.176935e-001	5.175743e-001	1.569953e-006	4.482424e-004	-4.498124e-004
1.303107199265508e-003	6.174176e-001	5.609940e-001	1.550534e-006	4.439001e-004	-4.454507e-004
1.313107199265508e-003	6.170864e-001	6.126146e-001	1.528473e-006	4.387379e-004	-4.402664e-004
1.323107199265508e-003	6.167011e-001	6.719658e-001	1.503931e-006	4.328026e-004	-4.343065e-004
1.333107199265508e-003	6.162633e-001	7.385159e-001	1.477085e-006	4.261475e-004	-4.276246e-004
1.343107199265508e-003	6.157748e-001	8.116810e-001	1.448136e-006	4.188310e-004	-4.202791e-004
1.353107199265508e-003	6.152373e-001	8.908343e-001	1.417304e-006	4.109156e-004	-4.123329e-004
1.373107199265508e-003	6.140243e-001	1.064441e+000	1.350938e-006	3.935550e-004	-3.949059e-004
1.393107199265508e-003	6.126432e-001	1.253832e+000	1.279964e-006	3.746160e-004	-3.758959e-004
1.473107199265508e-003	6.059028e-001	2.062186e+000	9.878873e-007	2.937809e-004	-2.947688e-004
1.513107199265509e-003	6.021786e-001	2.435193e+000	8.577917e-007	2.564804e-004	-2.573382e-004
1.543107199265509e-003	5.994206e-001	2.681927e+000	7.732505e-007	2.318071e-004	-2.325804e-004
1.573107199265509e-003	5.968019e-001	2.895086e+000	7.012518e-007	2.104914e-004	-2.111926e-004
1.603107199265509e-003	5.944157e-001	3.072836e+000	6.420768e-007	1.927165e-004	-1.933585e-004
1.633107199265509e-003	5.923471e-001	3.215157e+000	5.954612e-007	1.784844e-004	-1.790799e-004
1.663107199265509e-003	5.906699e-001	3.323056e+000	5.608713e-007	1.676947e-004	-1.682555e-004
1.693107199265509e-003	5.894438e-001	3.397915e+000	5.377183e-007	1.602088e-004	-1.607466e-004
1.723107199265509e-003	5.887126e-001	3.441014e+000	5.255113e-007	1.558990e-004	-1.564245e-004
1.753107199265509e-003	5.885024e-001	3.453210e+000	5.239521e-007	1.546793e-004	-1.552033e-004
1.783107199265509e-003	5.888206e-001	3.434764e+000	5.329855e-007	1.565239e-004	-1.570569e-004
1.813107199265509e-003	5.896559e-001	3.385290e+000	5.528095e-007	1.614713e-004	-1.620241e-004
1.843107199265509e-003	5.909783e-001	3.303830e+000	5.838457e-007	1.696172e-004	-1.702011e-004
1.873107199265509e-003	5.927407e-001	3.189059e+000	6.266690e-007	1.810943e-004	-1.817209e-004
1.903107199265510e-003	5.948802e-001	3.039632e+000	6.818829e-007	1.960369e-004	-1.967188e-004
1.933107199265510e-003	5.973206e-001	2.854702e+000	7.499349e-007	2.145298e-004	-2.152798e-004
1.963107199265509e-003	5.999746e-001	2.634598e+000	8.308650e-007	2.365401e-004	-2.373710e-004
1.993107199265510e-003	6.027479e-001	2.381868e+000	9.239044e-007	2.618130e-004	-2.627369e-004
2.000000000000000e-003	6.033918e-001	2.320071e+000	9.466784e-007	2.679927e-004	-2.689394e-004
0.000000000000000e+000	6.033971e-001	2.319347e+000	9.224142e-007	2.680653e-004	-2.689877e-004
5.119999713087964e-008	6.034001e-001	2.319170e+000	9.377898e-007	2.680830e-004	-2.690208e-004
2.047999885235186e-007	6.034163e-001	2.317709e+000	9.521763e-007	2.682291e-004	-2.691812e-004
2.310719926550519e-005	6.062564e-001	2.024129e+000	1.065415e-006	2.975864e-004	-2.986518e-004
5.310719926550518e-005	6.098752e-001	1.608075e+000	1.222124e-006	3.391913e-004	-3.404134e-004
1.031071992655052e-004	6.153271e-001	8.775828e-001	1.502365e-006	4.122381e-004	-4.137405e-004
1.231071992655052e-004	6.172040e-001	5.941995e-001	1.615129e-006	4.405789e-004	-4.421940e-004
1.331071992655052e-004	6.180613e-001	4.589193e-001	1.672445e-006	4.541081e-004	-4.557805e-004
1.431071992655052e-004	6.188596e-001	3.300561e-001	1.744129e-006	4.669944e-004	-4.687385e-004
1.514912857569022e-004	6.194628e-001	2.341426e-001	1.893437e-006	4.765857e-004	-4.784792e-004
1.592354582929581e-004	6.199468e-001	1.661049e-001	2.188075e-006	4.833895e-004	-4.855775e-004
1.644589760267193e-004	6.202233e-001	1.375086e-001	2.506778e-006	4.862491e-004	-4.887559e-004
1.704200088237152e-004	6.204892e-001	1.201131e-001	2.977248e-006	4.879886e-004	-4.909658e-004
1.774744190819515e-004	6.207646e-001	1.079047e-001	3.572879e-006	4.892092e-004	-4.927821e-004
1.842961646073933e-004	6.209993e-001	1.002335e-001	4.127956e-006	4.899764e-004	-4.941043e-004
1.942961646073933e-004	6.212969e-001	9.274500e-002	4.872788e-006	4.907254e-004	-4.955982e-004
2.042961646073933e-004	6.215476e-001	8.753870e-002	5.520242e-006	4.912453e-004	-4.967655e-004
2.142961646073933e-004	6.217485e-001	8.398236e-002	6.050688e-006	4.915993e-004	-4.976500e-004
2.242961646073933e-004	6.219000e-001	8.158776e-002	6.456021e-006	4.918385e-004	-4.982945e-004
2.342961646073933e-004	6.220022e-001	8.009962e-002	6.731540e-006	4.919883e-004	-4.987199e-004
2.442961646073933e-004	6.220552e-001	7.935929e-002	6.874022e-006	4.920629e-004	-4.989370e-004
2.542961646073933e-004	6.220590e-001	7.930682e-002	6.881973e-006	4.920684e-004	-4.989503e-004
2.642961646073933e-004	6.220136e-001	7.993857e-002	6.755191e-006	4.920052e-004	-4.987604e-004
2.742961646073934e-004	6.219190e-001	8.130696e-002	6.494824e-006	4.918682e-004	-4.983630e-004
