vin	V(gs)	Id(M1)
-2.445549999999966e+000	-2.445550e+000	2.230620e-011
-2.445399999999966e+000	-2.445400e+000	2.231584e-011
-2.445249999999966e+000	-2.445250e+000	2.232552e-011
-2.445099999999965e+000	-2.445100e+000	2.233524e-011
-2.444949999999965e+000	-2.444950e+000	2.234501e-011
-2.444799999999965e+000	-2.444800e+000	2.235478e-011
-2.444649999999965e+000	-2.444650e+000	2.236464e-011
-2.444499999999965e+000	-2.444500e+000	2.237455e-011
-2.444349999999965e+000	-2.444350e+000	2.238449e-011
-2.444199999999965e+000	-2.444200e+000	2.239449e-011
-2.444049999999965e+000	-2.444050e+000	2.240443e-011
-2.443899999999965e+000	-2.443900e+000	2.241447e-011
-2.443749999999965e+000	-2.443750e+000	2.242455e-011
-2.443599999999965e+000	-2.443600e+000	2.243468e-011
-2.443449999999964e+000	-2.443450e+000	2.244493e-011
-2.443299999999964e+000	-2.443300e+000	2.245510e-011
-2.443149999999964e+000	-2.443150e+000	2.246536e-011
-2.442999999999964e+000	-2.443000e+000	2.247567e-011
-2.442849999999964e+000	-2.442850e+000	2.248606e-011
-2.442699999999964e+000	-2.442700e+000	2.249645e-011
-2.442549999999964e+000	-2.442550e+000	2.250684e-011
-2.442399999999964e+000	-2.442400e+000	2.251737e-011
-2.442249999999964e+000	-2.442250e+000	2.252785e-011
-2.442099999999964e+000	-2.442100e+000	2.253842e-011
-2.441949999999963e+000	-2.441950e+000	2.254903e-011
-2.441799999999963e+000	-2.441800e+000	2.255969e-011
-2.441649999999963e+000	-2.441650e+000	2.257039e-011
-2.441499999999963e+000	-2.441500e+000	2.258114e-011
-2.441349999999963e+000	-2.441350e+000	2.259193e-011
-2.441199999999963e+000	-2.441200e+000	2.260276e-011
-2.441049999999963e+000	-2.441050e+000	2.261364e-011
-2.440899999999963e+000	-2.440900e+000	2.262457e-011
-2.440749999999963e+000	-2.440750e+000	2.263554e-011
-2.440599999999963e+000	-2.440600e+000	2.264660e-011
-2.440449999999963e+000	-2.440450e+000	2.265761e-011
-2.440299999999962e+000	-2.440300e+000	2.266876e-011
-2.440149999999962e+000	-2.440150e+000	2.267986e-011
-2.439999999999962e+000	-2.440000e+000	2.269109e-011
-2.439849999999962e+000	-2.439850e+000	2.270237e-011
-2.439699999999962e+000	-2.439700e+000	2.271365e-011
-2.439549999999962e+000	-2.439550e+000	2.272498e-011
-2.439399999999962e+000	-2.439400e+000	2.273639e-011
